# Whack-O-Meter CSV Manager v2
# Original samples: 453
# Samples/sec: 50000
# Prefix trimmed: 1.39354 - 1.39366 sec
# Suffix trimmed: 1.39624 - 1.40258 sec
# Event start: 1.39366 sec
# Event end: 1.39624 sec
# Baseline (N): 439.2
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 2 · 6.7kN peak · fast decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 4:21 PM
Peak(N):,6723.2
Low(N):,-2530.2
Time (sec),Reading (N) (Whackometer 2-0)
1.39366,-16.6
1.39368,11.0
1.39370,-2530.2
1.39372,11.0
1.39374,11.0
1.39376,204.4
1.39378,342.5
1.39380,674.0
1.39382,1088.3
1.39384,1447.4
1.39386,1778.9
1.39388,2193.2
1.39390,2331.3
1.39392,2524.6
1.39394,2745.6
1.39396,2773.2
1.39398,2773.2
1.39400,2773.2
1.39402,2552.3
1.39404,2552.3
1.39406,2883.7
1.39408,3215.2
1.39410,3767.6
1.39412,4513.4
1.39414,5065.9
1.39416,5535.4
1.39418,6087.9
1.39420,6419.3
1.39422,6723.2
1.39424,6502.2
1.39426,6419.3
1.39428,6391.7
1.39430,5949.8
1.39432,5176.3
1.39434,4651.5
1.39436,4320.1
1.39438,4099.1
1.39440,3657.1
1.39442,3546.7
1.39444,3629.5
1.39446,3519.0
1.39448,3298.1
1.39450,3325.7
1.39452,3298.1
1.39454,3104.7
1.39456,2856.1
1.39458,2745.6
1.39460,2524.6
1.39462,2220.8
1.39464,1999.8
1.39466,1889.3
1.39468,1447.4
1.39470,1088.3
1.39472,894.9
1.39474,756.8
1.39476,425.4
1.39478,176.8
1.39480,93.9
1.39482,-99.4
1.39484,-209.9
1.39486,-209.9
1.39488,-127.1
1.39490,-209.9
1.39492,-127.1
1.39494,11.0
1.39496,93.9
1.39498,-16.6
1.39500,-99.4
1.39502,-99.4
1.39504,-320.4
1.39506,-430.9
1.39508,-651.9
1.39510,-762.4
1.39512,-900.5
1.39514,-1093.8
1.39516,-1093.8
1.39518,-1093.8
1.39520,-1093.8
1.39522,-1038.6
1.39524,-983.3
1.39526,-762.4
1.39528,-679.5
1.39530,-651.9
1.39532,-569.0
1.39534,-430.9
1.39536,-320.4
1.39538,-265.2
1.39540,-237.5
1.39542,-16.6
1.39544,11.0
1.39546,-16.6
1.39548,-16.6
1.39550,11.0
1.39552,93.9
1.39554,121.5
1.39556,232.0
1.39558,425.4
1.39560,563.5
1.39562,894.9
1.39564,1198.8
1.39566,1447.4
1.39568,2082.7
1.39570,2552.3
1.39572,2856.1
1.39574,2966.6
1.39576,2994.2
1.39578,3077.1
1.39580,3187.6
1.39582,3104.7
1.39584,3077.1
1.39586,3077.1
1.39588,2994.2
1.39590,2883.7
1.39592,2883.7
1.39594,3077.1
1.39596,3215.2
1.39598,3436.2
1.39600,3767.6
1.39602,4071.5
1.39604,4182.0
1.39606,4209.6
1.39608,4209.6
1.39610,4402.9
1.39612,4264.8
1.39614,4071.5
1.39616,3878.1
1.39618,3740.0
1.39620,3408.5
1.39622,2966.6
1.39624,2662.8
