# Whack-O-Meter CSV Manager v2
# Original samples: 10
# Samples/sec: 50000
# Prefix trimmed: 9.00000 - 10.00000 sec
# Suffix trimmed: 18.00000 - 18.00000 sec
# Event start: 10.00000 sec
# Event end: 18.00000 sec
# Baseline (N): 1.2
# Weapon type: Steel Test Ball Drop
# Category: steel-test-ball-drop
# Nickname: sample impact 002 · 25N peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer
Samples/Sec:,50000
timestamp_ms,impact_g
10.00000,2.1
11.00000,8.4
12.00000,18.2
13.00000,24.6
14.00000,22.1
15.00000,14.8
16.00000,8.2
17.00000,3.4
18.00000,1.6
